Probability_falling,Probability_falling_rapidly,Probability_rising,Probability_rising_rapidly,Probability_stable
0.7746939655220939,0.00045320794572317356,0.00042109260998069684,1.2383151000588295e-09,0.22443173268388708
4.891855816801099e-15,0.9999999999999951,5.300139799915231e-53,3.3809562081415192e-74,5.8935541614881884e-33
1.550851794396994e-09,9.813026422194369e-19,0.5885689271197275,0.41083513188187787,0.0005959394475428533
1.3592895987244822e-20,5.7525481833131245e-34,0.0004927349387745901,0.999507265005447,5.57783536394581e-11
0.006082838580816318,8.39103771773319e-09,0.3644546588241893,0.00026454770997353175,0.6291979464939831
2.7799370802883583e-24,5.378540370741581e-39,2.9577875761987324e-05,0.9999704221240722,1.6578453255975254e-13
0.005642952159890882,8.401784272296638e-09,0.3241086153774511,0.00016539275061252232,0.6700830313102611
1.719316884695279e-07,7.368226391179999e-16,0.9112933986253214,0.08038207768840593,0.008324351754583311
0.12245558711661486,2.6379819707816988e-06,0.012744231517570885,5.29248269327183e-07,0.8647970141355742
0.3852946821456321,4.869195896333118e-05,0.004130621809447589,4.287502474236006e-08,0.6105259612109322
4.846779329900471e-21,2.0762285313492767e-34,0.00031225104527788354,0.9996877489333403,2.138182600043785e-11
0.00603074111176783,6.3198883472714e-09,0.2501153614104072,0.000136871381577396,0.7437170197763593
0.686406004447104,0.0003109181778197868,0.0005348102393322139,2.6522324786431996e-09,0.3127482644835115
3.0156679021914036e-08,5.144444817291607e-17,0.8423125381299881,0.1545724251998861,0.003115006513446723
0.9693686058622257,0.0101649156478749,1.9119523056998264e-06,2.932266350482652e-13,0.020464566537300367
2.641237835142225e-06,0.9999973587621624,7.363780487231998e-27,4.4192701837023165e-40,2.4898088583154494e-15
0.11092955916190106,2.840080594758336e-06,0.01825740675985016,8.286576685693114e-07,0.8708093653399854
0.005806710367578615,7.664437736351515e-09,0.28798480603787846,0.00014827310553712988,0.7060602028245679
2.1224959202833128e-07,8.603604746719512e-16,0.8903228961635885,0.09959525186086758,0.01008163972595091
4.58138763011715e-05,5.668788793806683e-12,0.9062704889548053,0.004145840231809993,0.08953785693141482
3.6331833720446977e-28,4.156149748352624e-44,1.6529567605683895e-06,0.999998347043239,4.766807770998129e-16
1.8853219362149265e-13,2.3672496717159433e-24,0.06563020144135365,0.934368065881183,1.7326772748847218e-06
1.3351942526105273e-09,0.9999999986648058,1.4408469613514026e-36,5.722683616859891e-52,1.175757643801775e-21
0.8608829551217734,0.13809290803308685,4.752927449893271e-09,7.491044916228978e-17,0.001024132092212263
1.2474287370112926e-05,3.554568045049971e-13,0.9360556742227424,0.011856154544450685,0.05207569694508123
4.0563266933095225e-06,7.026173429692423e-14,0.9386427736471674,0.024406038475820412,0.0369471315502486
0.7468219208369313,0.00032181548684910946,0.0003903227593134136,1.6070526820391895e-09,0.2524659393098534
3.5456300509325266e-24,6.727067011715358e-39,3.5245193285532835e-05,0.9999647548064641,2.5015920454950575e-13
6.254342025178957e-05,6.029819145953325e-12,0.8543653735279515,0.006542818886616595,0.1390292641591503
0.11379202154637323,3.4899715944582238e-06,0.022814973635820503,1.1861298734571689e-06,0.8633883287163384
0.01215029765338719,2.6650018244178757e-08,0.13709638643782573,5.0259848834879096e-05,0.8507030294099339
6.345209845237088e-05,4.8041508677528275e-12,0.866778517309924,0.011060786581894095,0.12209724400492554
6.159230407224226e-28,8.354833813141037e-44,1.9541595852663903e-06,0.9999980458404139,8.86220944010634e-16
4.8146870321036156e-05,3.807807884792429e-12,0.8742934886182886,0.00769912583363753,0.11795923867394514
8.45740342975928e-11,1.2974825288789579e-20,0.341946201160586,0.6579355038101029,0.00011829494473704733
6.957947478752277e-05,6.228584705778228e-12,0.8812648631320853,0.00475869500859528,0.11390686237830325
0.8570044607548709,0.14201180203761193,4.4706115530291745e-09,6.816795884835708e-17,0.0009837327369055318
0.9575356922232587,0.0036267802278348,5.987676357051269e-06,3.4719340758721134e-12,0.03883153986907736
0.00031222398724411077,4.648238593466234e-11,0.7019643554846886,0.0021814218852739616,0.295541998596311
2.0650319533017826e-07,9.753543124680192e-16,0.9340931053153406,0.05884081766673463,0.007065870514728417
4.703380832381875e-05,3.447657122943914e-12,0.8958433946489105,0.00932045499605381,0.09478911654326429
0.9713313650958255,0.009848136848387153,1.9125657098226898e-06,4.695788355603317e-13,0.018818585489607725
7.974948210001782e-09,8.541544813582261e-18,0.80499278439192,0.19371349808145508,0.0012937095516767244
7.623138690676405e-21,3.164092046121424e-34,0.00030463448502389694,0.9996953654719487,4.3027298324156614e-11
0.15239786249136048,2.674550238037652e-06,0.02266976001738391,1.101306864854053e-06,0.8249286016341527
4.2151211818076205e-24,9.321755151384095e-39,3.8653091687785555e-05,0.9999613469080322,2.800268535712749e-13
0.0052243895048774995,7.70582303354136e-09,0.2891286809776177,0.0002142646057003419,0.7054326572059815
7.203169046152732e-05,4.3992047919711705e-12,0.8444318689741679,0.004660534229826932,0.15083556510114443
1.4084989422884688e-05,4.251100622311028e-13,0.9261061971960679,0.00902304665775839,0.06485667115632589
0.0006080759747117392,2.0212850492504424e-10,0.6778613476644128,0.0013200428032364756,0.3202105333555105
