Estimator_Number,Estimator_Weight
1,5.195385176649001
2,2.6364907585273833
3,2.619748498388784
4,1.876687308897109
5,0.8443126151894647
6,1.1227610425140206
7,1.051620871588019
8,1.170437889261099
9,1.0341261286785757
10,1.0227900470772535
11,0.9068327069742339
12,0.7979322531859045
13,1.125995682058262
14,0.6941852196672317
15,0.8085786849375385
16,0.47690147645110986
17,0.6212075148779033
18,0.4004452516824453
19,0.5426763522945673
20,0.9257612657685235
21,0.6035954556386307
22,1.0955537326263103
23,0.4065260995598977
24,0.6304412560679264
25,0.517351006847767
26,0.4814347071309884
27,0.46228360827878573
28,0.8174136647774429
29,1.0004607598533153
30,0.4889839031656896
31,0.3566657916627842
32,0.6357334011152269
33,0.5330179337063998
34,0.5170043635340837
35,0.7039093138813433
36,0.32745663199102903
37,0.5884244856060498
38,1.0198857496971696
39,0.8132754183308294
40,0.5207710264036622
41,0.7399966804308677
42,1.050967170223779
43,0.6097716902232141
44,0.6091600020829666
45,0.6458583591328924
46,0.8400672564640067
47,1.0170093558664524
48,0.9904767643433674
49,0.8987241521457959
50,0.6794660131072706
51,0.7928862629536394
52,0.6581661597312851
53,0.49923759211965885
54,0.6788917696214853
55,0.42358692089139593
56,0.6496213855121289
57,0.8296521171473613
58,0.5950198644734213
59,0.5807440271105315
60,0.8422265953410926
61,0.9404731196839221
62,0.6362984372413818
63,0.6019406647253763
64,0.63325308707287
65,0.7433559836553776
66,0.7094529685206413
67,0.40350594489729624
68,0.7904246122850924
69,0.6114009776595868
70,0.4882428449076211
71,0.42389291894103187
72,0.49646613546811463
73,0.5098031203452132
74,0.6562064711832104
75,0.8206831320082957
76,0.37691613679694697
77,0.5642832990814942
78,0.5789370580317511
79,0.7581481865420313
80,0.38119057911071047
81,0.6003816590276783
82,0.8980234933556881
83,0.616757296591968
84,0.6331340617752342
85,0.3141943102491825
86,0.5089634909614349
87,0.5133819621939073
88,0.7019932845711998
89,0.8941860341486694
90,0.5059574137823785
91,0.8193163645673481
92,0.5063409000201474
93,0.6236464400735675
94,0.4780716358608415
95,0.44203485964431216
96,0.48341277931721316
97,0.4563096629864258
98,0.5135087802481654
99,0.506616835680129
100,0.5665262348551731
